Country,iso_country_code
Albania,ALB
Armenia,ARM
Austria,AUT
Azerbaijan,AZE
Belarus,BLR
Belgium,BEL
Bosnia and Herzegovina,BIH
Bulgaria,BGR
Croatia,HRV
Cyprus,CYP
Czech Republic,CZE
Denmark,DNK
Estonia,EST
Finland,FIN
France,FRA
Georgia,GEO
Germany,DEU
Greece,GRC
Hungary,HUN
Iceland,ISL
Ireland,IRL
Italy,ITA
Kazakhstan,KAZ
Kosovo,XKK
Latvia,LVA
Lithuania,LTU
Luxembourg,LUX
Malta,MLT
Moldova,MDA
Montenegro,MNE
Netherlands,NLD
North Macedonia,MKD
Norway,NOR
Poland,POL
Portugal,PRT
Romania,ROU
Russia,RUS
Serbia,SRB
Slovakia,SVK
Slovenia,SVN
Spain,ESP
Sweden,SWE
Switzerland,CHE
Turkey,TUR
Ukraine,UKR
United Kingdom,GBR
